Codepoint,Property,Status,Description
015B,PVALID,,LATIN SMALL LETTER S WITH ACUTE
015C,DISALLOWED,,LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015D,PVALID,,LATIN SMALL LETTER S WITH CIRCUMFLEX
015E,DISALLOWED,,LATIN CAPITAL LETTER S WITH CEDILLA
015F,PVALID,,LATIN SMALL LETTER S WITH CEDILLA
0160,DISALLOWED,,LATIN CAPITAL LETTER S WITH CARON
0161,PVALID,,LATIN SMALL LETTER S WITH CARON
0162,DISALLOWED,,LATIN CAPITAL LETTER T WITH CEDILLA
0163,PVALID,,LATIN SMALL LETTER T WITH CEDILLA
0164,DISALLOWED,,LATIN CAPITAL LETTER T WITH CARON
0165,PVALID,,LATIN SMALL LETTER T WITH CARON
0166,DISALLOWED,,LATIN CAPITAL LETTER T WITH STROKE
0167,PVALID,,LATIN SMALL LETTER T WITH STROKE
0168,DISALLOWED,,LATIN CAPITAL LETTER U WITH TILDE
0169,PVALID,,LATIN SMALL LETTER U WITH TILDE
016A,DISALLOWED,,LATIN CAPITAL LETTER U WITH MACRON
016B,PVALID,,LATIN SMALL LETTER U WITH MACRON
016C,DISALLOWED,,LATIN CAPITAL LETTER U WITH BREVE
016D,PVALID,,LATIN SMALL LETTER U WITH BREVE
016E,DISALLOWED,,LATIN CAPITAL LETTER U WITH RING ABOVE
016F,PVALID,,LATIN SMALL LETTER U WITH RING ABOVE
0170,DISALLOWED,,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0171,PVALID,,LATIN SMALL LETTER U WITH DOUBLE ACUTE
0172,DISALLOWED,,LATIN CAPITAL LETTER U WITH OGONEK
0173,PVALID,,LATIN SMALL LETTER U WITH OGONEK
0174,DISALLOWED,,LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0175,PVALID,,LATIN SMALL LETTER W WITH CIRCUMFLEX
0176,DISALLOWED,,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0177,PVALID,,LATIN SMALL LETTER Y WITH CIRCUMFLEX
0178-0179,DISALLOWED,,LATIN CAPITAL LETTER Y WITH DIAERESIS..LATIN CAPITAL LETTER Z WITH ACUTE
017A,PVALID,,LATIN SMALL LETTER Z WITH ACUTE
017B,DISALLOWED,,LATIN CAPITAL LETTER Z WITH DOT ABOVE
017C,PVALID,,LATIN SMALL LETTER Z WITH DOT ABOVE
017D,DISALLOWED,,LATIN CAPITAL LETTER Z WITH CARON
017E,PVALID,,LATIN SMALL LETTER Z WITH CARON
017F,DISALLOWED,,LATIN SMALL LETTER LONG S
0180,PVALID,,LATIN SMALL LETTER B WITH STROKE
0181-0182,DISALLOWED,,LATIN CAPITAL LETTER B WITH HOOK..LATIN CAPITAL LETTER B WITH TOPBAR
0183,PVALID,,LATIN SMALL LETTER B WITH TOPBAR
0184,DISALLOWED,,LATIN CAPITAL LETTER TONE SIX
0185,PVALID,,LATIN SMALL LETTER TONE SIX
0186-0187,DISALLOWED,,LATIN CAPITAL LETTER OPEN O..LATIN CAPITAL LETTER C WITH HOOK
0188,PVALID,,LATIN SMALL LETTER C WITH HOOK
0189-018B,DISALLOWED,,LATIN CAPITAL LETTER AFRICAN D..LATIN CAPITAL LETTER D WITH TOPBAR
018C-018D,PVALID,,LATIN SMALL LETTER D WITH TOPBAR..LATIN SMALL LETTER TURNED DELTA
018E-0191,DISALLOWED,,LATIN CAPITAL LETTER REVERSED E..LATIN CAPITAL LETTER F WITH HOOK
0192,PVALID,,LATIN SMALL LETTER F WITH HOOK
0193-0194,DISALLOWED,,LATIN CAPITAL LETTER G WITH HOOK..LATIN CAPITAL LETTER GAMMA
0195,PVALID,,LATIN SMALL LETTER HV
0196-0198,DISALLOWED,,LATIN CAPITAL LETTER IOTA..LATIN CAPITAL LETTER K WITH HOOK
0199-019B,PVALID,,LATIN SMALL LETTER K WITH HOOK..LATIN SMALL LETTER LAMBDA WITH STROKE
019C-019D,DISALLOWED,,LATIN CAPITAL LETTER TURNED M..LATIN CAPITAL LETTER N WITH LEFT HOOK
019E,PVALID,,LATIN SMALL LETTER N WITH LONG RIGHT LEG
019F-01A0,DISALLOWED,,LATIN CAPITAL LETTER O WITH MIDDLE TILDE..LATIN CAPITAL LETTER O WITH HORN
01A1,PVALID,,LATIN SMALL LETTER O WITH HORN
01A2,DISALLOWED,,LATIN CAPITAL LETTER OI
01A3,PVALID,,LATIN SMALL LETTER OI
01A4,DISALLOWED,,LATIN CAPITAL LETTER P WITH HOOK
01A5,PVALID,,LATIN SMALL LETTER P WITH HOOK
01A6-01A7,DISALLOWED,,LATIN LETTER YR..LATIN CAPITAL LETTER TONE TWO
01A8,PVALID,,LATIN SMALL LETTER TONE TWO
01A9,DISALLOWED,,LATIN CAPITAL LETTER ESH
01AA-01AB,PVALID,,LATIN LETTER REVERSED ESH LOOP..LATIN SMALL LETTER T WITH PALATAL HOOK
01AC,DISALLOWED,,LATIN CAPITAL LETTER T WITH HOOK
01AD,PVALID,,LATIN SMALL LETTER T WITH HOOK
01AE-01AF,DISALLOWED,,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK..LATIN CAPITAL LETTER U WITH HORN
01B0,PVALID,,LATIN SMALL LETTER U WITH HORN
01B1-01B3,DISALLOWED,,LATIN CAPITAL LETTER UPSILON..LATIN CAPITAL LETTER Y WITH HOOK
01B4,PVALID,,LATIN SMALL LETTER Y WITH HOOK
01B5,DISALLOWED,,LATIN CAPITAL LETTER Z WITH STROKE
01B6,PVALID,,LATIN SMALL LETTER Z WITH STROKE
01B7-01B8,DISALLOWED,,LATIN CAPITAL LETTER EZH..LATIN CAPITAL LETTER EZH REVERSED
01B9-01BB,PVALID,,LATIN SMALL LETTER EZH REVERSED..LATIN LETTER TWO WITH STROKE
01BC,DISALLOWED,,LATIN CAPITAL LETTER TONE FIVE
01BD-01C3,PVALID,,LATIN SMALL LETTER TONE FIVE..LATIN LETTER RETROFLEX CLICK
01C4-01CD,DISALLOWED,,LATIN CAPITAL LETTER DZ WITH CARON..LATIN CAPITAL LETTER A WITH CARON
01CE,PVALID,,LATIN SMALL LETTER A WITH CARON
01CF,DISALLOWED,,LATIN CAPITAL LETTER I WITH CARON
01D0,PVALID,,LATIN SMALL LETTER I WITH CARON
01D1,DISALLOWED,,LATIN CAPITAL LETTER O WITH CARON
01D2,PVALID,,LATIN SMALL LETTER O WITH CARON
01D3,DISALLOWED,,LATIN CAPITAL LETTER U WITH CARON
01D4,PVALID,,LATIN SMALL LETTER U WITH CARON
01D5,DISALLOWED,,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D6,PVALID,,LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
01D7,DISALLOWED,,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D8,PVALID,,LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
01D9,DISALLOWED,,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DA,PVALID,,LATIN SMALL LETTER U WITH DIAERESIS AND CARON
01DB,DISALLOWED,,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DC-01DD,PVALID,,LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE..LATIN SMALL LETTER TURNED E
01DE,DISALLOWED,,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
01DF,PVALID,,LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
01E0,DISALLOWED,,LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
01E1,PVALID,,LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
01E2,DISALLOWED,,LATIN CAPITAL LETTER AE WITH MACRON
01E3,PVALID,,LATIN SMALL LETTER AE WITH MACRON
01E4,DISALLOWED,,LATIN CAPITAL LETTER G WITH STROKE
01E5,PVALID,,LATIN SMALL LETTER G WITH STROKE
01E6,DISALLOWED,,LATIN CAPITAL LETTER G WITH CARON
01E7,PVALID,,LATIN SMALL LETTER G WITH CARON
01E8,DISALLOWED,,LATIN CAPITAL LETTER K WITH CARON
01E9,PVALID,,LATIN SMALL LETTER K WITH CARON
01EA,DISALLOWED,,LATIN CAPITAL LETTER O WITH OGONEK
01EB,PVALID,,LATIN SMALL LETTER O WITH OGONEK
01EC,DISALLOWED,,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
01ED,PVALID,,LATIN SMALL LETTER O WITH OGONEK AND MACRON
01EE,DISALLOWED,,LATIN CAPITAL LETTER EZH WITH CARON
01EF-01F0,PVALID,,LATIN SMALL LETTER EZH WITH CARON..LATIN SMALL LETTER J WITH CARON
01F1-01F4,DISALLOWED,,LATIN CAPITAL LETTER DZ..LATIN CAPITAL LETTER G WITH ACUTE
01F5,PVALID,,LATIN SMALL LETTER G WITH ACUTE
01F6-01F8,DISALLOWED,,LATIN CAPITAL LETTER HWAIR..LATIN CAPITAL LETTER N WITH GRAVE
01F9,PVALID,,LATIN SMALL LETTER N WITH GRAVE
01FA,DISALLOWED,,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
01FB,PVALID,,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
01FC,DISALLOWED,,LATIN CAPITAL LETTER AE WITH ACUTE
01FD,PVALID,,LATIN SMALL LETTER AE WITH ACUTE
01FE,DISALLOWED,,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
01FF,PVALID,,LATIN SMALL LETTER O WITH STROKE AND ACUTE
0200,DISALLOWED,,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
0201,PVALID,,LATIN SMALL LETTER A WITH DOUBLE GRAVE
0202,DISALLOWED,,LATIN CAPITAL LETTER A WITH INVERTED BREVE
0203,PVALID,,LATIN SMALL LETTER A WITH INVERTED BREVE
0204,DISALLOWED,,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
0205,PVALID,,LATIN SMALL LETTER E WITH DOUBLE GRAVE
0206,DISALLOWED,,LATIN CAPITAL LETTER E WITH INVERTED BREVE
0207,PVALID,,LATIN SMALL LETTER E WITH INVERTED BREVE
0208,DISALLOWED,,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
0209,PVALID,,LATIN SMALL LETTER I WITH DOUBLE GRAVE
020A,DISALLOWED,,LATIN CAPITAL LETTER I WITH INVERTED BREVE
020B,PVALID,,LATIN SMALL LETTER I WITH INVERTED BREVE
020C,DISALLOWED,,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
020D,PVALID,,LATIN SMALL LETTER O WITH DOUBLE GRAVE
020E,DISALLOWED,,LATIN CAPITAL LETTER O WITH INVERTED BREVE
020F,PVALID,,LATIN SMALL LETTER O WITH INVERTED BREVE
0210,DISALLOWED,,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
0211,PVALID,,LATIN SMALL LETTER R WITH DOUBLE GRAVE
0212,DISALLOWED,,LATIN CAPITAL LETTER R WITH INVERTED BREVE
0213,PVALID,,LATIN SMALL LETTER R WITH INVERTED BREVE
0214,DISALLOWED,,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
0215,PVALID,,LATIN SMALL LETTER U WITH DOUBLE GRAVE
0216,DISALLOWED,,LATIN CAPITAL LETTER U WITH INVERTED BREVE
0217,PVALID,,LATIN SMALL LETTER U WITH INVERTED BREVE
0218,DISALLOWED,,LATIN CAPITAL LETTER S WITH COMMA BELOW
0219,PVALID,,LATIN SMALL LETTER S WITH COMMA BELOW
021A,DISALLOWED,,LATIN CAPITAL LETTER T WITH COMMA BELOW
021B,PVALID,,LATIN SMALL LETTER T WITH COMMA BELOW
021C,DISALLOWED,,LATIN CAPITAL LETTER YOGH
021D,PVALID,,LATIN SMALL LETTER YOGH
021E,DISALLOWED,,LATIN CAPITAL LETTER H WITH CARON
021F,PVALID,,LATIN SMALL LETTER H WITH CARON
0220,DISALLOWED,,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
0221,PVALID,,LATIN SMALL LETTER D WITH CURL
0222,DISALLOWED,,LATIN CAPITAL LETTER OU
0223,PVALID,,LATIN SMALL LETTER OU
0224,DISALLOWED,,LATIN CAPITAL LETTER Z WITH HOOK
0225,PVALID,,LATIN SMALL LETTER Z WITH HOOK
0226,DISALLOWED,,LATIN CAPITAL LETTER A WITH DOT ABOVE
0227,PVALID,,LATIN SMALL LETTER A WITH DOT ABOVE
0228,DISALLOWED,,LATIN CAPITAL LETTER E WITH CEDILLA
0229,PVALID,,LATIN SMALL LETTER E WITH CEDILLA
022A,DISALLOWED,,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
022B,PVALID,,LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
022C,DISALLOWED,,LATIN CAPITAL LETTER O WITH TILDE AND MACRON
022D,PVALID,,LATIN SMALL LETTER O WITH TILDE AND MACRON
022E,DISALLOWED,,LATIN CAPITAL LETTER O WITH DOT ABOVE
022F,PVALID,,LATIN SMALL LETTER O WITH DOT ABOVE
0230,DISALLOWED,,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
0231,PVALID,,LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
0232,DISALLOWED,,LATIN CAPITAL LETTER Y WITH MACRON
0233-0239,PVALID,,LATIN SMALL LETTER Y WITH MACRON..LATIN SMALL LETTER QP DIGRAPH
023A-023B,DISALLOWED,,LATIN CAPITAL LETTER A WITH STROKE..LATIN CAPITAL LETTER C WITH STROKE
023C,PVALID,,LATIN SMALL LETTER C WITH STROKE
023D-023E,DISALLOWED,,LATIN CAPITAL LETTER L WITH BAR..LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
023F-0240,PVALID,,LATIN SMALL LETTER S WITH SWASH TAIL..LATIN SMALL LETTER Z WITH SWASH TAIL
0241,DISALLOWED,,LATIN CAPITAL LETTER GLOTTAL STOP
0242,PVALID,,LATIN SMALL LETTER GLOTTAL STOP
0243-0246,DISALLOWED,,LATIN CAPITAL LETTER B WITH STROKE..LATIN CAPITAL LETTER E WITH STROKE
0247,PVALID,,LATIN SMALL LETTER E WITH STROKE
0248,DISALLOWED,,LATIN CAPITAL LETTER J WITH STROKE
0249,PVALID,,LATIN SMALL LETTER J WITH STROKE
024A,DISALLOWED,,LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
024B,PVALID,,LATIN SMALL LETTER Q WITH HOOK TAIL
024C,DISALLOWED,,LATIN CAPITAL LETTER R WITH STROKE
024D,PVALID,,LATIN SMALL LETTER R WITH STROKE
024E,DISALLOWED,,LATIN CAPITAL LETTER Y WITH STROKE
024F-02AF,PVALID,,LATIN SMALL LETTER Y WITH STROKE..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0-02B8,DISALLOWED,,MODIFIER LETTER SMALL H..MODIFIER LETTER SMALL Y
02B9-02C1,PVALID,,MODIFIER LETTER PRIME..MODIFIER LETTER REVERSED GLOTTAL STOP
02C2-02C5,DISALLOWED,,MODIFIER LETTER LEFT ARROWHEAD..MODIFIER LETTER DOWN ARROWHEAD
02C6-02D1,PVALID,,MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02D2-02EB,DISALLOWED,,MODIFIER LETTER CENTRED RIGHT HALF RING..MODIFIER LETTER YANG DEPARTING TONE MARK
02EC,PVALID,,MODIFIER LETTER VOICING
02ED,DISALLOWED,,MODIFIER LETTER UNASPIRATED
02EE,PVALID,,MODIFIER LETTER DOUBLE APOSTROPHE
02EF-02FF,DISALLOWED,,MODIFIER LETTER LOW DOWN ARROWHEAD..MODIFIER LETTER LOW LEFT ARROW
0300-033F,PVALID,,COMBINING GRAVE ACCENT..COMBINING DOUBLE OVERLINE
0340-0341,DISALLOWED,,COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0342,PVALID,,COMBINING GREEK PERISPOMENI
0343-0345,DISALLOWED,,COMBINING GREEK KORONIS..COMBINING GREEK YPOGEGRAMMENI
0346-034E,PVALID,,COMBINING BRIDGE ABOVE..COMBINING UPWARDS ARROW BELOW
034F,DISALLOWED,,COMBINING GRAPHEME JOINER
0350-036F,PVALID,,COMBINING RIGHT ARROWHEAD ABOVE..COMBINING LATIN SMALL LETTER X
0370,DISALLOWED,,GREEK CAPITAL LETTER HETA
0371,PVALID,,GREEK SMALL LETTER HETA
0372,DISALLOWED,,GREEK CAPITAL LETTER ARCHAIC SAMPI
0373,PVALID,,GREEK SMALL LETTER ARCHAIC SAMPI
0374,DISALLOWED,,GREEK NUMERAL SIGN
0375,CONTEXTO,,GREEK LOWER NUMERAL SIGN
0376,DISALLOWED,,GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
0377,PVALID,,GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
0378-0379,UNASSIGNED,,<RESERVED>..<RESERVED>
037A,DISALLOWED,,GREEK YPOGEGRAMMENI
037B-037D,PVALID,,GREEK SMALL REVERSED LUNATE SIGMA SYMBOL..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037E-037F,DISALLOWED,,GREEK QUESTION MARK..GREEK CAPITAL LETTER YOT
0380-0383,UNASSIGNED,,<RESERVED>..<RESERVED>
0384-038A,DISALLOWED,,GREEK TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038B,UNASSIGNED,,<RESERVED>
038C,DISALLOWED,,GREEK CAPITAL LETTER OMICRON WITH TONOS
038D,UNASSIGNED,,<RESERVED>
038E-038F,DISALLOWED,,GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER OMEGA WITH TONOS
0390,PVALID,,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0391-03A1,DISALLOWED,,GREEK CAPITAL LETTER ALPHA..GREEK CAPITAL LETTER RHO
03A2,UNASSIGNED,,<RESERVED>
03A3-03AB,DISALLOWED,,GREEK CAPITAL LETTER SIGMA..GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
03AC-03CE,PVALID,,GREEK SMALL LETTER ALPHA WITH TONOS..GREEK SMALL LETTER OMEGA WITH TONOS
03CF-03D6,DISALLOWED,,GREEK CAPITAL KAI SYMBOL..GREEK PI SYMBOL
03D7,PVALID,,GREEK KAI SYMBOL
03D8,DISALLOWED,,GREEK LETTER ARCHAIC KOPPA
03D9,PVALID,,GREEK SMALL LETTER ARCHAIC KOPPA
03DA,DISALLOWED,,GREEK LETTER STIGMA
03DB,PVALID,,GREEK SMALL LETTER STIGMA
03DC,DISALLOWED,,GREEK LETTER DIGAMMA
03DD,PVALID,,GREEK SMALL LETTER DIGAMMA
03DE,DISALLOWED,,GREEK LETTER KOPPA
03DF,PVALID,,GREEK SMALL LETTER KOPPA
03E0,DISALLOWED,,GREEK LETTER SAMPI
03E1,PVALID,,GREEK SMALL LETTER SAMPI
03E2,DISALLOWED,,COPTIC CAPITAL LETTER SHEI
03E3,PVALID,,COPTIC SMALL LETTER SHEI
03E4,DISALLOWED,,COPTIC CAPITAL LETTER FEI
03E5,PVALID,,COPTIC SMALL LETTER FEI
03E6,DISALLOWED,,COPTIC CAPITAL LETTER KHEI
03E7,PVALID,,COPTIC SMALL LETTER KHEI
03E8,DISALLOWED,,COPTIC CAPITAL LETTER HORI
03E9,PVALID,,COPTIC SMALL LETTER HORI
03EA,DISALLOWED,,COPTIC CAPITAL LETTER GANGIA
03EB,PVALID,,COPTIC SMALL LETTER GANGIA
03EC,DISALLOWED,,COPTIC CAPITAL LETTER SHIMA
03ED,PVALID,,COPTIC SMALL LETTER SHIMA
03EE,DISALLOWED,,COPTIC CAPITAL LETTER DEI
03EF,PVALID,,COPTIC SMALL LETTER DEI
03F0-03F2,DISALLOWED,,GREEK KAPPA SYMBOL..GREEK LUNATE SIGMA SYMBOL
03F3,PVALID,,GREEK LETTER YOT
03F4-03F7,DISALLOWED,,GREEK CAPITAL THETA SYMBOL..GREEK CAPITAL LETTER SHO
03F8,PVALID,,GREEK SMALL LETTER SHO
03F9-03FA,DISALLOWED,,GREEK CAPITAL LUNATE SIGMA SYMBOL..GREEK CAPITAL LETTER SAN
03FB-03FC,PVALID,,GREEK SMALL LETTER SAN..GREEK RHO WITH STROKE SYMBOL
03FD-042F,DISALLOWED,,GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL..CYRILLIC CAPITAL LETTER YA
0430-045F,PVALID,,CYRILLIC SMALL LETTER A..CYRILLIC SMALL LETTER DZHE
0460,DISALLOWED,,CYRILLIC CAPITAL LETTER OMEGA
0461,PVALID,,CYRILLIC SMALL LETTER OMEGA
0462,DISALLOWED,,CYRILLIC CAPITAL LETTER YAT
0463,PVALID,,CYRILLIC SMALL LETTER YAT
0464,DISALLOWED,,CYRILLIC CAPITAL LETTER IOTIFIED E
0465,PVALID,,CYRILLIC SMALL LETTER IOTIFIED E
0466,DISALLOWED,,CYRILLIC CAPITAL LETTER LITTLE YUS
0467,PVALID,,CYRILLIC SMALL LETTER LITTLE YUS
0468,DISALLOWED,,CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
